,tran_0,tran_0_bm25.b,tran_1,tran_1_bm25.k_1,map
0,BR(BM25),0.0,BR(BM25),0.3,0.356492940273176
1,BR(BM25),0.0,BR(BM25),0.6,0.3702123506516214
2,BR(BM25),0.0,BR(BM25),0.9,0.37454150519375995
3,BR(BM25),0.0,BR(BM25),1.2,0.37102631523130725
4,BR(BM25),0.0,BR(BM25),1.4,0.3710987833993426
5,BR(BM25),0.0,BR(BM25),1.6,0.3702932949250804
6,BR(BM25),0.0,BR(BM25),2.0,0.36554718432886324
7,BR(BM25),0.1,BR(BM25),0.3,0.3655483405506804
8,BR(BM25),0.1,BR(BM25),0.6,0.389369721067069
9,BR(BM25),0.1,BR(BM25),0.9,0.3920137202410609
10,BR(BM25),0.1,BR(BM25),1.2,0.3886512734735947
11,BR(BM25),0.1,BR(BM25),1.4,0.38503610127681087
12,BR(BM25),0.1,BR(BM25),1.6,0.38388724811265296
13,BR(BM25),0.1,BR(BM25),2.0,0.3816338478673855
14,BR(BM25),0.2,BR(BM25),0.3,0.37915315199000355
15,BR(BM25),0.2,BR(BM25),0.6,0.39846411205196985
16,BR(BM25),0.2,BR(BM25),0.9,0.40620051187811407
17,BR(BM25),0.2,BR(BM25),1.2,0.40317281346890277
18,BR(BM25),0.2,BR(BM25),1.4,0.40140741452992884
19,BR(BM25),0.2,BR(BM25),1.6,0.3984429940101555
20,BR(BM25),0.2,BR(BM25),2.0,0.3921075286925506
21,BR(BM25),0.3,BR(BM25),0.3,0.38442779607428684
22,BR(BM25),0.3,BR(BM25),0.6,0.40788511807176475
23,BR(BM25),0.3,BR(BM25),0.9,0.41363035912767293
24,BR(BM25),0.3,BR(BM25),1.2,0.40829844519175107
25,BR(BM25),0.3,BR(BM25),1.4,0.40506007669727295
26,BR(BM25),0.3,BR(BM25),1.6,0.4045897508197195
27,BR(BM25),0.3,BR(BM25),2.0,0.39934790396347775
28,BR(BM25),0.4,BR(BM25),0.3,0.38963180224662636
29,BR(BM25),0.4,BR(BM25),0.6,0.41288861756681244
30,BR(BM25),0.4,BR(BM25),0.9,0.4166510431011319
31,BR(BM25),0.4,BR(BM25),1.2,0.4145402567402579
32,BR(BM25),0.4,BR(BM25),1.4,0.41009450796168084
33,BR(BM25),0.4,BR(BM25),1.6,0.4061253970785819
34,BR(BM25),0.4,BR(BM25),2.0,0.40275090170585687
35,BR(BM25),0.5,BR(BM25),0.3,0.4150456488412812
36,BR(BM25),0.5,BR(BM25),0.6,0.4356701465279852
37,BR(BM25),0.5,BR(BM25),0.9,0.4204676416016817
38,BR(BM25),0.5,BR(BM25),1.2,0.41323451805542016
39,BR(BM25),0.5,BR(BM25),1.4,0.41178481344616125
40,BR(BM25),0.5,BR(BM25),1.6,0.4121752102048044
41,BR(BM25),0.5,BR(BM25),2.0,0.4104395982248661
42,BR(BM25),0.6,BR(BM25),0.3,0.41848835821650693
43,BR(BM25),0.6,BR(BM25),0.6,0.44009908660794994
44,BR(BM25),0.6,BR(BM25),0.9,0.4411611222217238
45,BR(BM25),0.6,BR(BM25),1.2,0.42012852177493926
46,BR(BM25),0.6,BR(BM25),1.4,0.4228907333061968
47,BR(BM25),0.6,BR(BM25),1.6,0.4207890086807261
48,BR(BM25),0.6,BR(BM25),2.0,0.41544313574320685
49,BR(BM25),0.7,BR(BM25),0.3,0.4227829507706133
50,BR(BM25),0.7,BR(BM25),0.6,0.4427653411504784
51,BR(BM25),0.7,BR(BM25),0.9,0.44526573787704704
52,BR(BM25),0.7,BR(BM25),1.2,0.44934028220296685
53,BR(BM25),0.7,BR(BM25),1.4,0.4483854486099495
54,BR(BM25),0.7,BR(BM25),1.6,0.42869250854965507
55,BR(BM25),0.7,BR(BM25),2.0,0.42366743706439003
56,BR(BM25),0.8,BR(BM25),0.3,0.4259503646748933
57,BR(BM25),0.8,BR(BM25),0.6,0.4431719752286225
58,BR(BM25),0.8,BR(BM25),0.9,0.451478723136575
59,BR(BM25),0.8,BR(BM25),1.2,0.453879859135533
60,BR(BM25),0.8,BR(BM25),1.4,0.4514102056877406
61,BR(BM25),0.8,BR(BM25),1.6,0.44893692004305713
62,BR(BM25),0.8,BR(BM25),2.0,0.4422423362472585
63,BR(BM25),0.9,BR(BM25),0.3,0.4276508869717242
64,BR(BM25),0.9,BR(BM25),0.6,0.44611287357075197
65,BR(BM25),0.9,BR(BM25),0.9,0.4534618578977912
66,BR(BM25),0.9,BR(BM25),1.2,0.4526941352812253
67,BR(BM25),0.9,BR(BM25),1.4,0.44971878468719767
68,BR(BM25),0.9,BR(BM25),1.6,0.44654902830753374
69,BR(BM25),0.9,BR(BM25),2.0,0.4387246322707268
70,BR(BM25),1.0,BR(BM25),0.3,0.43181179805706305
71,BR(BM25),1.0,BR(BM25),0.6,0.4434134768966289
72,BR(BM25),1.0,BR(BM25),0.9,0.45353495124342436
73,BR(BM25),1.0,BR(BM25),1.2,0.4504719682588182
74,BR(BM25),1.0,BR(BM25),1.4,0.4450893085030627
75,BR(BM25),1.0,BR(BM25),1.6,0.4388311605557533
76,BR(BM25),1.0,BR(BM25),2.0,0.42901151930360976
